device,storage,india_price_inr,ownership_years,resale_rate,financing_rate,repair_cost_inr,net_ownership_cost_inr,annual_cost_inr,monthly_cost_inr,evidence_note
Apple iPhone 17,256GB,99900,3,0.4,0,0,59940,19980,1665,REPORTED price + MODELED ownership assumptions
Samsung Galaxy S26,256GB,87999,3,0.4,0,0,52799.4,17599.8,1466.65,REPORTED price + MODELED ownership assumptions
